regime,model,feature,importance,rank,abs_importance
PROVENANCE_AWARE,RANDOM_FOREST,DIFF__evidence_score,0.2380694049335624,1,0.2380694049335624
PROVENANCE_AWARE,RANDOM_FOREST,DIFF__source_frequency,0.1720862466426043,2,0.1720862466426043
PROVENANCE_AWARE,RANDOM_FOREST,DIFF__nearest_real_distance,0.1450094904678076,3,0.1450094904678076
PROVENANCE_AWARE,RANDOM_FOREST,DIFF__num_changed_characteristics,0.1132417816119455,4,0.1132417816119455
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__generation_method__REAL_OBSERVED,0.0442326208745629,5,0.0442326208745629
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__record_type__DERIVED,0.0441919168879298,6,0.0441919168879298
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__evidence_level__OBSERVED,0.0439078609127817,7,0.0439078609127817
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__record_type__OBSERVED,0.0410246940082169,8,0.0410246940082169
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__generation_method__TWO_CHARACTERISTIC,0.0292300342988158,9,0.0292300342988158
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__generation_method__ONE_CHARACTERISTIC,0.0254498577514312,10,0.0254498577514312
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__evidence_level__LOW,0.0241438709630214,11,0.0241438709630214
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__generation_method__DEPENDENCY_TWO_CHARACTERISTIC,0.0153146670721526,12,0.0153146670721526
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__evidence_level__VERY_STRONG,0.0125391563806659,13,0.0125391563806659
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__evidence_level__MODERATE,0.0096115863119282,14,0.0096115863119282
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_temperaturEingaenge__NOVALUE,0.0067503086517398,15,0.0067503086517398
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_temperaturEingaenge__TT1,0.0066257801512436,16,0.0066257801512436
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_stromEingaenge__IS1,0.0043548618165554,17,0.0043548618165554
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_stromEingaenge__NOVALUE,0.0041140778808563,18,0.0041140778808563
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_stromSchaltbar__NOVALUE,0.0040330759930683,19,0.0040330759930683
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_stromSchaltbar__CS1,0.0039995587097169,20,0.0039995587097169
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_dynamicGasMaster__NOVALUE,0.0017722031721842,21,0.0017722031721842
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_dynamicGasMaster__1,0.0015151851689861,22,0.0015151851689861
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_dev_advMeterVerification__1,0.0014190974716436,23,0.0014190974716436
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_dev_advMeterVerification__NOVALUE,0.0011699050726719,24,0.0011699050726719
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_customUserFluid__NOVALUE,0.0010162786782257,25,0.0010162786782257
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__evidence_level__STRONG,0.0010121613020742,26,0.0010121613020742
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_binaerOpenColl_MP__NOVALUE,0.0008766393191604,27,0.0008766393191604
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_customUserFluid__1,0.0008655402899114,28,0.0008655402899114
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_binaerDigitalOpenColl_MN__NOVALUE,0.0007571907199109,29,0.0007571907199109
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_binaerDigitalOpenColl_MN__MN1,0.0007158811553186,30,0.0007158811553186
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromSchaltbar__CS1,0.0452,1,0.0452
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerOpenColl_MP__MP1,0.0435333333333333,2,0.0435333333333333
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_temperaturEingaenge__NOVALUE,0.0256666666666666,3,0.0256666666666666
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerDigitalOpenColl_MN__NOVALUE,0.0228,4,0.0228
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerDigitalOpenColl_MN__MN1,0.0159999999999999,5,0.0159999999999999
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromEingaenge__IS1,0.0157333333333333,6,0.0157333333333333
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_customUserFluid__1,0.0075999999999999,7,0.0075999999999999
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerOpenColl_MP__NOVALUE,0.0066666666666666,8,0.0066666666666666
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dynamicGasMaster__1,0.0061999999999999,9,0.0061999999999999
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dev_advMeterVerification__NOVALUE,-0.0049999999999999,21,0.0049999999999999
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dev_advMeterVerification__1,0.0025333333333333,10,0.0025333333333333
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromSchaltbar__CS2,0.0010666666666666,11,0.0010666666666666
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromEingaenge__NOVALUE,0.001,12,0.001
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_temperaturEingaenge__TT1,0.0009333333333333,13,0.0009333333333333
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dynamicGasMaster__NOVALUE,-0.0008666666666666,20,0.0008666666666666
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_customUserFluid__NOVALUE,-0.0003333333333333,19,0.0003333333333333
