source_id,target_id,relation,provenance,source,source_row,characteristic
RULE_f6eb96a8b815dede,VAL_f2e29e78c68067ad,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,stromEingaenge
CHAR_1c2479fe5d4ca3d1,VAL_bfeb933687d59d6f,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_f6eb96a8b815dede,VAL_bfeb933687d59d6f,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,temperaturEingaenge
RULE_f6eb96a8b815dede,VAL_50b6289cde98dc49,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,steamApplication
RULE_f6eb96a8b815dede,VAL_c5ff5c75f35a3e2d,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,waveInjector
RULE_f6eb96a8b815dede,VAL_2676bd8840266aad,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,tagPlate
RULE_f6eb96a8b815dede,VAL_386cbad7dcf5b735,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,inclusiveManual
RULE_f6eb96a8b815dede,VAL_d723eea6e08b5602,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,powerCable
RULE_f6eb96a8b815dede,VAL_7af1c2f312e7c10e,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,carryingCase
RULE_f6eb96a8b815dede,VAL_aa1b68c72a179664,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,measuringTape
RULE_f6eb96a8b815dede,VAL_b47009407cab993d,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,dev_advMeterVerification
RULE_f6eb96a8b815dede,VAL_5713f5cb5b195172,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,dynamicGasMaster
RULE_f6eb96a8b815dede,VAL_a86d399e188281bb,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,customUserFluid
PRODUCT_731,RULE_adb4b563c02dcec9,HAS_RULE_ROW,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,
RULE_adb4b563c02dcec9,VAL_e960a3e12805b44f,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,OrgUnitAreaOfDocument
RULE_adb4b563c02dcec9,VAL_3c1402392fdf9063,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,marke
RULE_adb4b563c02dcec9,VAL_72d9bd3f30e49bd0,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,packageFixed_dev
RULE_adb4b563c02dcec9,FAMILY_8177acd68c91a9c4,RULE_APPLIES_TO_FAMILY,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,
RULE_adb4b563c02dcec9,VAL_d9a9ed7deb43abb4,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,installationsart
RULE_adb4b563c02dcec9,VAL_a18211ef12f115d6,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,devCategory
RULE_adb4b563c02dcec9,VAL_d63a7323926a1147,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,type
RULE_adb4b563c02dcec9,VAL_d00a50e0a7516c7a,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,characteristic
RULE_adb4b563c02dcec9,VAL_faa9d8774782e75a,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,housing
RULE_adb4b563c02dcec9,VAL_6852a7db852ad36a,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,powerSupply
RULE_adb4b563c02dcec9,VAL_18f7bcd5389f8b4d,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,numberOfChannels
RULE_adb4b563c02dcec9,VAL_43d4ee4dc051670b,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,explosionApproval
RULE_adb4b563c02dcec9,VAL_479efaebf64c1e73,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,protectionArea
RULE_adb4b563c02dcec9,VAL_4aa6177c23e4da3c,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,intrinsicSafety
RULE_adb4b563c02dcec9,VAL_14b7a2fc061f4506,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,4.0,certification
