regime,model,transformed_feature,importance,absolute_importance,importance_type
PROVENANCE_AWARE,RANDOM_FOREST,config_customUserFluid_1,0.017108573826793486,0.017108573826793486,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,mandatory_satisfied,0.017016646463070304,0.017016646463070304,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,preferred_total,0.015985034231030645,0.015985034231030645,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,preferred_satisfied,0.015897816124787627,0.015897816124787627,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,config_customUserFluid_NOVALUE,0.015302345382887468,0.015302345382887468,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,config_temperaturEingaenge_TT1,0.014008161287415858,0.014008161287415858,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,config_stromSchaltbar_CS2,0.013948471843312972,0.013948471843312972,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,config_certification_MN,0.013426389104239888,0.013426389104239888,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,config_certification_NN,0.012803591209934895,0.012803591209934895,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,generation_method_TWO_CHARACTERISTIC,0.010880628910953804,0.010880628910953804,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,config_dataInterface_PA,0.008401282198244918,0.008401282198244918,feature_importance
