regime,model,feature,importance,rank
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_binaerDigitalOpenColl_MN__NOVALUE,0.1258429812945748,25
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__NOVALUE,0.11397991978109329,26
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_customUserFluid__NOVALUE,0.10373502830437083,27
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_customUserFluid__1,0.10373502830437083,28
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,DIFF__evidence_score_normalized,0.08679711937776491,29
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__MP1,0.0828004501226945,30
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_dynamicGasMaster__1,0.07682289160174845,31
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_dynamicGasMaster__NOVALUE,0.07682289160174845,32
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_temperaturEingaenge__NOVALUE,0.050441809863522064,33
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_temperaturEingaenge__TT1,0.050441809863522064,34
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_stromEingaenge__IS1,0.04277587892703343,35
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_stromEingaenge__NOVALUE,0.04277587892703343,36
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_dev_advMeterVerification__1,0.03879781081851843,37
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_dev_advMeterVerification__NOVALUE,0.03879781081851843,38
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_binaerDigitalOpenColl_MN__MN4,0.029413252666183085,39
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_binaerDigitalOpenColl_MN__MN1,0.017237415740934896,40
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_stromSchaltbar__NOVALUE,0.01503183608802227,41
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__evidence_score,0.18262396781250934,1
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__evidence_score_normalized,0.16411593872754582,2
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__source_frequency,0.09725625815392998,3
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__source_frequency_score,0.09589019094869335,4
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__real_proximity_score,0.08835317152432445,5
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__nearest_real_distance,0.07422314089355578,6
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__low_change_score,0.06737579476845842,7
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__num_changed_characteristics,0.06327835710392868,8
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__evidence_level__OBSERVED,0.018866876314820136,9
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__generation_method__ONE_CHARACTERISTIC,0.018655450261475536,10
