replicate,top1,mrr,ndcg5
228,0.9521857923497268,0.9754098360655737,0.9818060587213181
229,0.9207650273224044,0.9600409836065574,0.9704831591689158
230,0.9221311475409836,0.9600409836065574,0.970440213616228
231,0.9289617486338798,0.9644808743169399,0.9737818950624533
232,0.9262295081967213,0.962431693989071,0.9722263665325992
233,0.9221311475409836,0.960724043715847,0.970987353494638
234,0.9193989071038251,0.9596994535519126,0.970252534782399
235,0.9371584699453552,0.9682377049180327,0.9765334910775806
236,0.9371584699453552,0.9682377049180327,0.9765334910775806
237,0.9262295081967213,0.9620901639344263,0.9719527965933942
238,0.9398907103825137,0.969603825136612,0.9775418797290246
239,0.9262295081967213,0.9627732240437158,0.9724999364718042
240,0.9453551912568307,0.9719945355191257,0.9792850870927079
241,0.9467213114754098,0.9730191256830601,0.9800628513576349
242,0.9330601092896175,0.9665300546448088,0.9752944780396194
243,0.9385245901639344,0.9689207650273224,0.9770376854033027
244,0.9412568306010929,0.9706284153005464,0.9783196439939517
245,0.9344262295081968,0.9668715846994536,0.9755251024261365
246,0.9166666666666666,0.9579918032786885,0.9689705761917498
247,0.9385245901639344,0.9689207650273224,0.9770376854033027
248,0.9316939890710383,0.9651639344262295,0.9742431438354874
249,0.9316939890710383,0.9655054644808743,0.9745167137746923
250,0.9521857923497268,0.9757513661202186,0.9820796286605231
251,0.9275956284153005,0.9637978142076503,0.9732777007367311
252,0.9289617486338798,0.9641393442622951,0.9735083251232481
253,0.924863387978142,0.9620901639344263,0.9719957421460822
254,0.924863387978142,0.960724043715847,0.9709014623892622
255,0.9467213114754098,0.9730191256830601,0.9800628513576349
256,0.930327868852459,0.9651639344262295,0.9742860893881753
257,0.9467213114754098,0.9730191256830601,0.9800628513576349
258,0.9412568306010929,0.9706284153005464,0.9783196439939517
259,0.9289617486338798,0.9641393442622951,0.9735083251232483
260,0.9316939890710383,0.9651639344262295,0.9742431438354873
261,0.9316939890710383,0.9651639344262295,0.9742431438354873
262,0.9385245901639344,0.9689207650273224,0.9770376854033025
263,0.9426229508196722,0.9709699453551912,0.9785502683804689
264,0.9453551912568307,0.9726775956284153,0.9798322269711179
265,0.9330601092896175,0.9661885245901639,0.9750209081004143
266,0.9439890710382514,0.9716530054644809,0.9790544627061908
267,0.9330601092896175,0.9665300546448088,0.9752944780396194
268,0.9467213114754098,0.9733606557377049,0.98033642129684
269,0.9426229508196722,0.9713114754098361,0.9788238383196738
270,0.9262295081967213,0.9617486338797814,0.9716792266541893
271,0.9153005464480874,0.957308743169399,0.9684663818660277
272,0.9412568306010929,0.9699453551912568,0.9777725041155418
273,0.9221311475409836,0.9610655737704918,0.9712609234338431
274,0.9289617486338798,0.9641393442622951,0.9735083251232483
275,0.9480874316939891,0.9740437158469946,0.9808406156225621
276,0.9371584699453552,0.9682377049180327,0.9765334910775806
277,0.9289617486338798,0.9641393442622951,0.9735083251232483
278,0.9371584699453552,0.967896174863388,0.9762599211383757
279,0.9385245901639344,0.9692622950819673,0.9773112553425076
280,0.9166666666666666,0.9579918032786885,0.9689705761917499
281,0.9426229508196722,0.9709699453551912,0.9785502683804689
282,0.9385245901639344,0.9692622950819673,0.9773112553425076
283,0.9426229508196722,0.9709699453551912,0.9785502683804689
284,0.9316939890710383,0.9655054644808743,0.9745167137746923
285,0.9426229508196722,0.9713114754098361,0.9788238383196739
286,0.9453551912568307,0.9726775956284153,0.9798322269711179
287,0.9275956284153005,0.9631147540983607,0.9727305608583212
288,0.9453551912568307,0.9723360655737705,0.9795586570319129
289,0.953551912568306,0.9760928961748634,0.9823102530470402
